SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000302,7.80,6.25,7.40,6.00,7.75,7.75,7.17,,,,
52000303,8.60,7.00,8.60,8.00,6.25,6.00,6.75,,,,
52000304,5.40,5.25,4.40,,,,,4.50,5.25,6.50,5.42
52000305,6.40,7.50,6.00,,,,,6.75,6.50,9.00,7.42
52000306,8.00,6.00,9.60,8.00,7.00,6.50,7.17,,,,
52000307,8.20,7.00,9.00,,,,,7.00,5.50,9.00,7.17
52000308,6.60,5.50,6.60,,,,,4.75,6.25,7.75,6.25
52000309,7.60,6.50,7.60,7.50,5.50,5.25,6.08,,,,
52000310,7.00,5.50,6.00,,,,,8.75,7.50,9.75,8.67
52000311,6.80,7.50,8.00,,,,,9.00,7.25,9.50,8.58
52000312,7.00,6.25,7.60,,,,,6.25,7.75,8.00,7.33
52000313,8.80,7.83,,7.50,8.50,9.50,8.50,,,,
52000314,6.80,5.75,5.60,7.00,5.75,5.50,6.08,,,,
52000315,5.80,5.25,7.60,7.25,7.25,6.50,7.00,,,,
52000316,7.20,4.00,8.00,8.00,3.75,5.00,5.58,,,,
52000317,7.40,4.00,,7.00,5.00,5.00,5.67,,,,
52000318,8.40,7.25,,,,,,8.50,7.25,9.75,8.50
52000319,8.20,7.25,7.20,7.00,7.00,6.25,6.75,,,,
52000320,5.20,5.50,3.20,,,,,6.75,6.75,8.00,7.17
52000321,7.40,5.75,7.40,,,,,7.00,5.25,7.75,6.67
52000322,6.00,7.75,6.60,,,,,8.25,5.75,9.00,7.67
52000323,5.80,7.50,9.00,,,,,6.00,7.25,9.50,7.58
52000324,7.80,5.75,9.00,7.25,6.75,6.50,6.83,,,,
52000325,6.60,7.50,5.80,,,,,7.75,7.00,9.25,8.00
52000326,,,,,,,,,,,
52000327,6.80,5.75,5.80,5.50,6.50,6.50,6.17,,,,
52000328,6.20,7.00,4.40,,,,,5.25,5.75,8.50,6.50
52000329,6.00,8.00,7.00,,,,,8.75,8.25,9.50,8.83
52000330,8.00,7.25,,7.75,8.00,6.50,7.42,,,,
52000331,7.20,5.75,6.80,7.25,8.50,6.25,7.33,,,,
