SBD,Toan,Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,DTBTN,Lich Su,Dia Ly,GDCD,DTBXH
52000171,7.8,7.75,9.0,,,,,7.75,7.75,9.5,8.33
52000172,7.2,8.25,8.8,7.0,7.75,6.5,7.08,,,,
52000173,8.2,7.25,8.4,5.0,8.75,7.5,7.08,,,,
52000174,7.6,6.25,3.6,,,,,7.75,5.5,8.25,7.17
52000175,6.2,6.5,7.0,,,,,8.5,5.75,8.75,7.67
52000176,8.6,6.0,9.8,8.25,8.75,8.5,8.5,,,,
52000177,6.2,6.0,8.0,,,,,7.5,7.0,9.25,7.92
52000178,8.8,7.0,9.2,8.5,6.75,6.25,7.17,,,,
52000179,7.2,6.0,9.6,5.25,6.5,6.5,6.08,,,,
52000180,8.8,6.0,9.0,7.5,6.5,5.5,6.5,,,,
52000181,8.0,7.5,6.6,5.75,7.25,5.75,6.25,,,,
52000182,7.0,6.25,6.4,6.75,7.5,5.75,6.67,,,,
52000183,9.0,6.75,8.8,7.75,7.0,7.25,7.33,,,,
52000184,6.2,6.0,4.6,4.25,3.25,3.75,3.75,,,,
52000185,7.8,5.5,5.4,8.5,8.0,6.75,7.75,,,,
52000186,4.2,5.0,4.6,2.5,5.25,5.0,4.25,,,,
52000187,7.2,5.5,5.8,,,,,7.5,5.0,7.75,6.75
52000188,7.6,4.5,7.0,6.75,7.0,4.25,6.0,,,,
52000189,7.2,5.75,7.8,6.75,7.0,4.0,5.92,,,,
52000190,7.8,5.25,8.4,6.75,4.0,6.0,5.58,,,,
52000191,6.8,6.0,7.8,6.25,6.5,7.0,6.58,,,,
52000192,8.8,6.25,,8.5,7.75,7.75,8.0,,,,
52000193,7.2,5.0,3.4,,,,,6.0,5.25,7.0,6.08
52000194,7.4,6.0,5.8,6.75,8.0,7.0,7.25,,,,
52000195,8.2,6.5,,6.75,5.75,6.75,6.42,,,,
52000196,6.0,5.75,6.2,,,,,5.5,5.5,7.25,6.08
52000197,8.8,6.75,9.2,9.0,6.75,7.25,7.67,,,,
52000198,9.0,5.75,7.0,6.75,7.75,6.75,7.08,,,,
52000199,8.2,5.75,10.0,8.0,6.75,7.0,7.25,,,,
52000200,6.4,5.25,7.2,3.5,6.0,8.0,5.83,,,,
52000201,7.8,6.25,7.4,7.0,5.25,7.5,6.58,,,,
52000202,7.4,7.0,7.2,,,,,7.0,6.5,8.0,7.17
52000203,6.4,7.5,5.0,,,,,5.5,6.25,8.5,6.75
52000204,8.0,6.75,7.8,6.0,8.25,6.75,7.0,,,,
52000205,7.2,7.5,8.0,,,,,7.0,6.0,9.5,7.5
52000206,8.2,7.75,9.8,,,,,9.5,7.25,9.25,8.67
52000207,7.6,8.0,7.2,,,,,9.0,6.75,9.75,8.5
52000208,6.2,5.42,3.4,6.25,6.25,4.75,5.75,,,,
52000209,8.6,6.75,9.2,,,,,7.0,7.5,9.0,7.83
52000210,8.8,8.0,8.8,8.5,8.25,7.75,8.17,,,,
52000211,7.6,8.75,9.6,,,,,6.0,6.25,8.25,6.83
52000212,7.6,7.75,7.0,,,,,7.75,7.0,9.5,8.08
52000213,6.8,5.5,5.6,8.25,7.75,6.0,7.33,,,,
52000214,8.2,6.75,9.4,8.0,7.5,8.25,7.92,,,,
52000215,8.0,6.75,9.4,7.75,5.75,6.75,6.75,,,,
52000216,7.2,5.5,8.0,8.25,6.25,7.25,7.25,,,,
52000217,6.6,6.0,6.2,6.25,8.25,6.75,7.08,,,,
52000218,7.2,5.5,8.4,7.5,6.5,4.5,6.17,,,,
52000219,8.8,6.0,8.4,7.5,8.25,5.75,7.17,,,,
52000220,4.0,5.25,4.4,,,,,6.75,5.25,8.0,6.67
52000221,8.6,8.0,9.0,7.0,9.5,7.5,8.0,,,,
52000222,8.4,6.25,9.0,,,,,7.0,7.25,9.75,8.0
52000223,8.8,7.0,9.2,9.0,7.75,8.75,8.5,,,,
52000224,8.0,7.0,9.0,5.5,6.75,7.0,6.42,,,,
52000225,6.8,6.75,6.6,6.75,6.25,6.25,6.42,,,,
52000226,7.2,7.75,,,,,,7.25,7.5,8.5,7.75
52000227,7.2,7.5,7.8,,,,,7.5,5.75,9.25,7.5
52000228,8.2,4.25,6.4,6.75,7.25,7.25,7.08,,,,
52000229,5.6,7.75,7.8,,,,,4.0,5.25,7.75,5.67
52000230,5.6,6.25,3.6,,,,,4.75,4.5,8.0,5.75
52000231,8.6,6.75,,6.25,8.5,9.75,8.17,,,,
52000232,7.8,5.75,4.8,7.25,7.75,5.75,6.92,,,,
52000233,6.6,7.0,10.0,,,,,7.5,5.75,9.25,7.5
52000234,7.6,7.5,7.2,,,,,7.5,6.5,9.75,7.92
52000235,8.2,6.5,9.0,6.0,5.75,5.25,5.67,,,,
52000236,7.6,6.75,9.4,,,,,7.75,7.25,9.0,8.0
52000237,7.2,6.5,8.8,5.75,8.25,8.5,7.5,,,,
52000238,7.6,5.75,7.2,6.5,5.5,6.5,6.17,,,,
52000239,8.0,7.75,7.4,,,,,8.5,6.25,10.0,8.25
52000240,8.2,7.25,9.4,,,,,7.5,7.75,9.0,8.08
52000241,8.0,7.25,9.2,,,,,7.75,5.25,8.5,7.17
52000242,5.6,7.0,7.2,6.5,7.75,5.0,6.42,,,,
52000243,6.6,7.0,,,,,,6.5,6.25,8.5,7.08
